Date,Voltage,No. of Electrodes,Spacing between electrode (mm),Time,Turbidity
27/2/2025,25,2,60,55,32.6
27/2/2025,25,2,60,60,30.49
27/2/2025,25,2,60,65,27.14
27/2/2025,25,2,60,70,26.52
27/2/2025,25,2,60,75,20.86
27/2/2025,25,2,60,80,20.48
27/2/2025,25,2,60,85,15.83
27/2/2025,25,2,60,90,12.48
27/2/2025,25,2,60,95,8.9
27/2/2025,25,2,60,100,8.03
27/2/2025,25,2,60,105,5.52
27/2/2025,25,2,60,110,4.17
27/2/2025,25,2,60,115,1.72
27/2/2025,25,2,60,120,1.1
28/2/2025,25,2,100,0,40.93
28/2/2025,25,2,100,5,27.45
28/2/2025,25,2,100,10,28.93
28/2/2025,25,2,100,15,28.38
28/2/2025,25,2,100,20,27.13
28/2/2025,25,2,100,25,28.94
28/2/2025,25,2,100,30,28.31
28/2/2025,25,2,100,35,28.59
28/2/2025,25,2,100,40,28.45
28/2/2025,25,2,100,45,28.83
28/2/2025,25,2,100,50,28.67
28/2/2025,25,2,100,55,28.03
28/2/2025,25,2,100,60,28.57
28/2/2025,25,2,100,65,27.74
28/2/2025,25,2,100,70,27.44
28/2/2025,25,2,100,75,26.13
28/2/2025,25,2,100,80,25.27
28/2/2025,25,2,100,85,25.47
28/2/2025,25,2,100,90,21.09
28/2/2025,25,2,100,95,20.26
28/2/2025,25,2,100,100,20.5
28/2/2025,25,2,100,105,21.15
28/2/2025,25,2,100,110,14.73
28/2/2025,25,2,100,115,14.21
